Time	Channel A	Channel B
(s)	(V)	(V)

-0.03706745	4.83944400	0.43676180
-0.03693411	4.83944400	0.43676180
-0.03680078	4.83944400	0.43676180
-0.03666744	4.83944400	0.43676180
-0.03653411	4.92741200	0.52411420
-0.03640077	4.92741200	0.43676180
-0.03626743	4.92741200	0.52411420
-0.03613410	4.83944400	0.52411420
-0.03600076	4.92741200	0.52411420
-0.03586743	4.83944400	0.52411420
-0.03573409	4.83944400	0.43676180
-0.03560075	4.83944400	0.43676180
-0.03546742	4.83944400	0.52411420
-0.03533408	4.83944400	0.52411420
-0.03520075	4.92741200	0.52411420
-0.03506741	4.92741200	0.52411420
-0.03493407	4.83944400	0.52411420
-0.03480074	4.92741200	0.52411420
-0.03466740	4.83944400	0.52411420
-0.03453407	4.92741200	0.52411420
-0.03440073	4.83944400	0.52411420
-0.03426739	4.83944400	0.52411420
-0.03413406	4.83944400	0.52411420
-0.03400072	4.92741200	0.52411420
-0.03386739	4.92741200	0.52411420
-0.03373405	4.83944400	0.52411420
-0.03360071	4.92741200	0.52411420
-0.03346738	4.92741200	0.43676180
-0.03333404	4.92741200	0.43676180
-0.03320071	4.92741200	0.43676180
-0.03306737	4.92741200	0.43676180
-0.03293403	4.92741200	0.43676180
-0.03280070	4.83944400	0.43676180
-0.03266736	4.92741200	0.43676180
-0.03253403	4.83944400	0.43676180
-0.03240069	4.92741200	0.34940950
-0.03226735	4.92741200	0.43676180
-0.03213402	4.92741200	0.34940950
-0.03200068	4.92741200	0.34940950
-0.03186735	4.83944400	0.34940950
-0.03173401	4.92741200	0.34940950
-0.03160067	4.92741200	0.34940950
-0.03146734	4.83944400	0.43676180
-0.03133400	4.92741200	0.43676180
-0.03120067	4.92741200	0.43676180
-0.03106733	4.83944400	0.43676180
-0.03093399	4.92741200	0.43676180
-0.03080066	4.92741200	0.43676180
-0.03066732	4.92741200	0.52411420
-0.03053399	4.92741200	0.52411420
-0.03040065	4.92741200	0.43676180
-0.03026731	4.92741200	0.43676180
-0.03013398	4.83944400	0.43676180
-0.03000064	4.83944400	0.52411420
-0.02986731	4.92741200	0.52411420
-0.02973397	4.83944400	0.43676180
-0.02960063	4.83944400	0.43676180
-0.02946730	4.92741200	0.43676180
